id,text_clean,text_clean_en
1844337926580416768,"Wywiad ze mną w Kurierze Lubelskim o wyborach prezydenckich w Polsce i USA, wojnie na Ukrainie, kwestii wejścia tego państwa do UE i o ocenie rządu Donalda Tuska. 
Link:  ","Interview with me in Kurier Lubelski about the presidential elections in Poland and the USA, the war in Ukraine, the issue of this country's entry into the EU and my assessment of Donald Tusk's government. 
Link:  "
1844253166281588992,I to jest trafne pytanie  😉,And that's a good question 😉
1844089550391640064,Obietnice Szymona Hołowni vs. rzeczywistość,Szymon Hołownia's promises vs. reality
1844031837339083008,Typowe dla polityków władzy  😉,Typical of politicians in power 😉
1843984045073428992,"Inwestycje samorządowe są kluczowe dla mieszkańców, bo odpowiadają na lokalne potrzeby. Niestety centralizacja i upolitycznienie tych inwestycji tworzą bariery, które często uniemożliwiają ich realizację. Dziś w Sejmie musieliśmy łatać luki prawne, żeby niektóre gminy w ogóle…  ","Local government investments are crucial for residents because they respond to local needs. Unfortunately, the centralization and politicization of these investments create barriers that often prevent their implementation. Today in the Sejm we had to fill legal loopholes so that some municipalities...  "
1843968804092829952,"Siedemnaście krajów (14 państw członkowskich, a także Norwegia, Szwajcaria i Liechtenstein) wezwało Komisję Europejską do zaostrzenia unijnych przepisów dotyczących odsyłania nielegalnych migrantów do ich krajów pochodzenia. Zgadnijcie, czy była wśród nich Polska? ","Seventeen countries (14 Member States plus Norway, Switzerland and Liechtenstein) have called on the European Commission to tighten EU rules on returning illegal migrants to their countries of origin. Guess if Poland was among them? "
1843892783259459840,"Chcesz działać na rzecz wolności, silnej, dumnej i bogatej Polski?  💪  Dołącz do #PejoTeam w Powiecie Kraśnickim i buduj razem z nami przyszłość!  🇵  🇱 

Wspólnie ze Sławomirem Mentzenem i Ewą Zajączkowską-Hernik walczymy o silną Polskę opartą na wartościach wolnościowych i…  ","Do you want to work for a free, strong, proud and rich Poland?  💪 Join #PejoTeam in Kraśnik County and build the future with us!  🇵 🇱 

Together with Sławomir Mentzen and Ewa Zajączkowska-Hernik, we are fighting for a strong Poland based on the values ​​of freedom and...  "
1843740048350691584,"O trendach i wyzwaniach rynku Data Center rozmawialiśmy na II edycji ""Forum Data Center.  Szczególnie podkreślałem rolę AI i Cyberbezpieczeństwa w kontekście centrów danych w Polsce.  🇵  🇱 
Dzięki za merytoryczną dyskusję. ","We talked about the trends and challenges of the Data Center market at the second edition of the ""Data Center Forum. I particularly emphasized the role of AI and Cybersecurity in the context of data centers in Poland. 🇵 🇱 
Thanks for the substantive discussion. "
1843691562611695872,"Rząd Donalda Tuska bardzo troszczy się o rodaków. Głównie tych, którzy bezskutecznie kandydowali z list partii koalicji rządowej w wyborach  🙃  ",Donald Tusk's government cares very much about its compatriots. Mainly those who unsuccessfully ran as candidates from the lists of the government coalition parties in the elections 🙃  
1843571973001232640,"Okazuje się, że Polska 2050 to sklep meblarski! Dowód?

Krzysztof Pałka, Michał Gniatowski, Andrzej Sadkowski, Miłosława Zagłoba, Robert Gajda, Ewa Patalas, Emilia Wasielewska, Emil Rojek - to wszystko politycy Polski 2050 zasiadający w spółkach Skarbu Państwa! ","It turns out that Polska 2050 is a furniture store! Evidence?

Krzysztof Pałka, Michał Gniatowski, Andrzej Sadkowski, Miłosława Zagłoba, Robert Gajda, Ewa Patalas, Emilia Wasielewska, Emil Rojek - all these are politicians of Poland 2050 sitting in State Treasury companies! "
1843328041834979840,"Złym przykładem ze strony koalicji rządzącej jest nieuwzględnienie poprawek opozycji, zarówno Konfederacji, jak i PiS. Proponowaliśmy takie rozwiązania, aby na przykład zwolnić powodzian ze składek ZUS-owskich, a nie tylko odroczyć płatność tych składek, bo to nic nie zmieni.…  ","A bad example on the part of the ruling coalition is the failure to take into account the amendments of the opposition, both Confederation and PiS. We proposed solutions such as, for example, exempting flood victims from ZUS contributions, and not just deferring the payment of these contributions, because this will not change anything.…  "
1843299154703122432,"Taki jest właśnie stosunek państwa do polskiego biznesu, który (jak przyznał niedawno właściciel InPostu Rafał Brzoska) odprowadza większe podatki niż cała zagraniczna konkurencja razem wzięta. Czy jak już rząd Donalda Tuska zniszczy InPost to na jego miejsce wejdzie niemiecki…  ","This is the attitude of the state towards Polish business, which (as the owner of InPost, Rafał Brzoska, recently admitted) pays more taxes than all its foreign competition combined. Once Donald Tusk's government destroys InPost, will the German...  "
1843218905260601600,"Rejestr mieszkań wynajmowanych krótkoterminowo, wysokie opodatkowanie? To jeszcze Polska 2050, czy już partia Razem? Udajecie liberałów, a prawda jest taka, że w swojej potrzebie ustawiania życia obywatelom chcecie prześcignąć PiS. Sama Pani Minister zarabia na najmie, proszę…  ","Register of short-term rental apartments, high taxation? Is it still Poland 2050 or already the Razem party? You pretend to be liberals, but the truth is that in your need to arrange citizens' lives, you want to surpass PiS. The Minister herself earns rent, please...  "
1843182024766722048,Krzysztof Śmiszek z Lewicy głosował w Europarlamencie przeciwko poprawce umożliwiającej ekshumację i godny pochówek ofiar Rzezi Wołyńskiej. Dlaczego? Bo poprawkę tę złożyli europosłowie Konfederacji.  🤡,Krzysztof Śmiszek from the Left voted in the European Parliament against the amendment allowing the exhumation and dignified burial of the victims of the Volhynian Massacre. Why? Because this amendment was submitted by MEPs from the Confederation.  🤡
1843003692800516352,Europejska gospodarka staje się niekonkurencyjna względem amerykańskiej czy chińskiej. Recepta? Wincyj dekarbonizacji! xD,The European economy is becoming uncompetitive compared to the American or Chinese economy. Prescription? Wincyj decarbonization! xD
1842899929150246912,"Presja ma sens!

Toyota wycofuje się ze sponsorowania wydarzeń LGBTQ+ i planuje skupić się wyłącznie na samochodach!

Decyzja ta nastąpiła po tym, jak popularny w Stanach Zjednoczonych aktywista anty-DEI Robby Starbuck zaatakował japońskiego giganta motoryzacyjnego za…  ","Pressure makes sense!

Toyota withdraws from sponsoring LGBTQ+ events and plans to focus solely on cars!

The decision comes after popular anti-DEI activist Robby Starbuck in the United States attacked the Japanese automotive giant for…  "
1842857190987616512,"To skandal, że nadzorowany przez MSZ Instytut Polski w Kijowie organizuje w wielu ukraińskich miastach bezpłatne pokazy filmu „Zielona Granica”, który szkaluje polskich żołnierzy i funkcjonariuszy broniących naszej granicy oraz powiela rosyjską propagandę. Dyrektor instytutu…  ","It is a scandal that the Polish Institute in Kiev, supervised by the Ministry of Foreign Affairs, organizes free screenings of the film ""The Green Border"" in many Ukrainian cities, which slanders Polish soldiers and officers defending our border and reproduces Russian propaganda. Director of the institute…  "
1842646904028467200,Tak właśnie wygląda hipokryzja.,This is what hypocrisy looks like.
1842630900225609984,W młodych siła! Świetna inicjatywa. Gratuluję i trzymam kciuki za powodzenie projektu  💪  🇵  🇱,There is strength in the young! Great initiative. Congratulations and I keep my fingers crossed for the success of the project 💪 🇵 🇱
1842600242815914240,"Donald Tusk to mistrz w znajdowaniu tematów zastępczych i robieniu z nich głównego problemu państwa, podczas gdy naprawdę istotne sprawy leżą odłogiem. CPK, reforma podatkowa, budowa elektrowni atomowej, walka z inflacją czy kryzysem mieszkaniowym? A komu to potrzebne, głównym…  ","Donald Tusk is a master at finding substitute topics and making them the main problem of the country, while really important issues lie fallow. CPK, tax reform, construction of a nuclear power plant, fight against inflation or the housing crisis? And who needs it, the main…  "
1842504859079069952,"Niestety, tęczowa indoktrynacja w animowanych bajkach dotarła także do Polski. Uważajcie na to, co oglądają Wasze dzieci! ","Unfortunately, rainbow indoctrination in animated fairy tales also reached Poland. Be careful what your children watch! "
1842479281386975488,Zapraszam do Radia Lublin!,Welcome to Radio Lublin!
1842289507359441408,"  Nazywanie ludobójcy ""wielkim mężem stanu walczącym o wolność Zachodu""? Serio? Coś obrzydliwego.","  Calling a genocide a ""great statesman fighting for the freedom of the West""? Seriously? Something disgusting."
1842274624488591360,"Chcesz działać na rzecz wolności, silnej, dumnej i bogatej Polski?  💪  Dołącz do #PejoTeam w Powiecie Lubelskim i buduj razem z nami przyszłość!  🇵  🇱 

Wspólnie ze Sławomirem Mentzenem i Ewą Zajączkowską-Hernik walczymy o silną Polskę opartą na wartościach wolnościowych i…  ","Do you want to work for a free, strong, proud and rich Poland?  💪 Join #PejoTeam in Lublin County and build the future with us!  🇵 🇱 

Together with Sławomir Mentzen and Ewa Zajączkowska-Hernik, we are fighting for a strong Poland based on the values ​​of freedom and...  "
1842224572008906752,"Był minister płacący służbową kartą na wakacjach, a teraz małżeństwo posłów PO biorące dwie dopłaty na jedno mieszkanie. Za zmianą władzy nie poszła w żadnej mierze zmiana jakości w rządzeniu ani większy szacunek do pieniędzy podatników. ","There was a minister who paid with his official card while on vacation, and now a married couple of PO MPs taking two subsidies for one apartment. The change in power was not in any way accompanied by a change in the quality of governance or greater respect for taxpayers' money. "
1842098497476083968,"Mina przedstawiciela ""uśmiechniętej koalicji"", gdy pokażesz jego hipokryzję czarno na białym - bezcenna!  😉  ","The face of a representative of the ""smiling coalition"" when you show his hypocrisy in black and white - priceless!  😉  "
1841921312006308096,"Trasa #Mentzen2025 trwa! Na dzisiejszych spotkaniach w Puławach i Łukowie frekwencja była znakomita. Podobnie jak na poprzednich spotkaniach z moim udziałem widać ogromną energię i nadzieję na zmiany w naszym kraju. Już w przyszłym roku wizja dumnej, bogatej i bezpiecznej Polski…  ","The #Mentzen2025 tour continues! At today's meetings in Puławy and Łuków, the attendance was excellent. As in previous meetings with my participation, you can see great energy and hope for changes in our country. Already next year, the vision of a proud, rich and safe Poland...  "
1841877435664511488,Trasa #Mentzen2025 trwa! Na dzisiejszym spotkaniu w Puławach frekwencja była znakomita. A już za chwilę zaczynamy spotkanie w Łukowie. Do zobaczenia!,"The #Mentzen2025 tour continues! At today's meeting in Puławy, the attendance was excellent. And in a moment we will start the meeting in Łuków. See you!"
1841847057486586112,Znajdowanie tematów zastępczych to specjalność Donalda Tuska. Sprawy kluczowe dla rozwoju Polski muszą poczekać.,Finding replacement topics is Donald Tusk's specialty. The key issues for Poland's development must wait.
1841797864604770304,"Podatek od spadków jest niemoralny! Jak można kłaść ręce na naszych pieniądzach nawet wtedy, gdy już umrzemy? Dlatego dziś nasz kandydat na Prezydenta  zaprezentował swój projekt ustawy, który likwiduje ten podatek. Projekt został złożony przez klub … ",Inheritance tax is immoral! How can we put our hands on our money even after we die? That is why today our candidate for President presented his bill that eliminates this tax. The project was submitted by the club… 
1841749451888644608,"A miało być wszystko odpolitycznione, bez kolesiostwa i tłustych kotów przy stołkach  😉  ","And everything was supposed to be depoliticized, without cronyism and fat cats at the tables 😉  "
1841550108174827776,Walka z tubkami i nieudolna próba wyrzucenia z komisji własnej posłanki. Tylko na tyle was stać.,Fighting against tubes and an unsuccessful attempt to expel his own MP from the committee. That's all you can afford.
1841541189872320768,"Już jutro ponownie ruszamy w trasę #Mentzen2025!

O godz. 16:00 widzimy się w Puławach na Placu Fryderyka Chopina wraz ze Sławomirem Mentzenem, Konradem Berkowiczem i Grzegorzem Płaczkiem.

Z kolei o 18:30 w tym samym składzie widzimy się w Łukowie na Placu Solidarności i…  ","Tomorrow we start the #Mentzen2025 tour again!

At 16:00 we will meet in Puławy at Fryderyk Chopin Square together with Sławomir Mentzen, Konrad Berkowicz and Grzegorz Płaczek.

At 6:30 p.m. we will meet in the same line-up in Łuków at Solidarity Square and...  "
1841500236423823616,"I tak właśnie wygląda nasze państwo. Silne w sprawach błahych, bezradne w sprawach najwyższej wagi. ","And this is what our country looks like. Strong in trivial matters, helpless in matters of the greatest importance. "
1841454900225491200,Temat zastępczy …,Substitute topic…
1841448186633715968,"Rozwój gospodarki, budowa nowoczesnej infrastruktury, modernizacja armii? Nic z tych rzeczy, zdaniem rządu najpoważniejszym dziś problemem są alko-tubki. To także jasny sygnał, że w naszym państwie z dnia na dzień każdy biznes może stać się celem politycznego ataku, a praktyki…  ","Development of the economy, construction of modern infrastructure, modernization of the army? None of these things, according to the government, the most serious problem today are alcohol tubes. It is also a clear signal that in our country, from one day to the next, any business can become the target of a political attack, and practices...  "
1841395569270386944,Wymowne zdjęcie: nowa vs. stara lewica.,A telling photo: new vs. old left.
1841184680064008448,"Dzięki zerwaniu kworum przez posłów  udało się uniemożliwić Lewicy, PO i Trzeciej Drodze usunięcie posłanki Matysiak z komisji infrastruktury!  🙂 ","Thanks to the MPs breaking the quorum, they managed to prevent the Left, PO and Third Way from removing MP Matysiak from the infrastructure committee!  🙂 "
1841074147985658112,Wystarczy dać im mówić. Nic tak skutecznie nie zniechęca do działań ekoterrorystów z Ostatniego Pokolenia jak oni sami.,Just let them talk. Nothing discourages the activities of Last Generation eco-terrorists as effectively as they themselves.
1840995298757296128,"Chcesz działać na rzecz wolności, silnej, dumnej i bogatej Polski?  💪  Dołącz do #PejoTeam w powiecie świdnickim i buduj razem z nami przyszłość!  🇵  🇱 

Wspólnie ze Sławomirem Mentzenem i Ewą Zajączkowską-Hernik walczymy o silną Polskę opartą na wartościach wolnościowych i…  ","Do you want to work for a free, strong, proud and rich Poland?  💪 Join #PejoTeam in Świdnica County and build the future with us!  🇵 🇱 

Together with Sławomir Mentzen and Ewa Zajączkowska-Hernik, we are fighting for a strong Poland based on the values ​​of freedom and...  "
1840821271619387904,"Jeśli tacy ludzie tworzą rząd i mają nas chronić np. przed powodzią, to naprawdę trudno o optymizm względem losów naszego kraju. ","If such people form the government and are supposed to protect us, for example, against floods, it is really difficult to be optimistic about the fate of our country. "
1840756633267306752,"Praworządność w wydaniu ekipy Tuska: jak przegracie w sądzie, zawsze możecie powiedzieć, że nie uznajecie tych sędziów, bo to są neosędziowie. Potwierdzone przez ministra obecnego rządu! ","The rule of law by Tusk's team: if you lose in court, you can always say that you do not recognize these judges because they are neo-judges. Confirmed by a minister of the current government! "
1840658919942692864,"Hipokryzja nowego rządu w pełni! Jak ujawnia Onet, w należącym do państwa Totalizatorze Sportowym zatrudniono nowych dyrektorów regionalnych, a wśród nich… politycy PO, PSL i Lewicy i boiskowy kolega premiera Donalda Tuska. Wymienili tłuste koty Kaczyńskiego na uśmiechnięte koty…  ","The hypocrisy of the new government is complete! As Onet reveals, new regional directors have been hired at the state-owned Totalizator Sportowy, including... politicians from PO, PSL and the Left, and a playing colleague of Prime Minister Donald Tusk. They replaced Kaczyński's fat cats with smiling cats...  "
1840632527528038912,"""Czysta woda""  🙃  ","""Clean water"" 🙃  "
1840476253901529088,"W najbliższą sobotę walka o złoto  💪  🇵  🇱 
Orlen Oil Motor Lublin wygrywa dzisiaj we Wrocławiu. Mamy to  👏  👏  👏  🏍 ️ 🏍 ️ 🏍 ️ ","This Saturday there will be a fight for gold 💪 🇵 🇱 
Orlen Oil Motor Lublin wins today in Wrocław. We got it 👏 👏 👏 🏍 ️ 🏍 ️ 🏍 ️ "
1840443287901011968,"Gdyby Maciej Gdula znał się na inwestowaniu w działalność badawczo- rozwojową tak, jak na inwestowaniu w nieruchomości, o przyszłość polskiej nauki moglibyśmy być spokojni. Niestety jest inaczej. ","If Maciej Gdula knew how to invest in research and development activities as well as investing in real estate, we could be confident about the future of Polish science. Unfortunately, it is different. "
1840411269435625728,"Donald Tusk to hipokryta, dla którego punkt widzenia zależy od punktu siedzenia? Nic nowego, wiadomo o tym od dawna. ","Is Donald Tusk a hypocrite for whom the point of view depends on the point of view? Nothing new, it has been known for a long time. "
1840368544346681600,Donald Trump w mocnych słowach o sytuacji Ukrainy i postawie prezydenta Zełenskiego!,Donald Trump in strong words about the situation in Ukraine and President Zelensky's attitude!
1840348605086920704,"  Czyli najważniejsze bobry, a ludźmi, którzy potrącili majątki, kto by się tam przejmował. Można wracać do weekendowania. I wy jesteście poważną partią?","  That is, the most important thing is the beavers, and who cares about the people who lost their property? You can go back to weekends. And are you a serious party?"
1840345465721597952,"Już jutro o 20:15 będę gościem w programie ""Bez Retuszu"" w . Zachęcam do oglądania! ","Tomorrow at 8:15 p.m. I will be a guest in the ""Bez Retuszu"" program on . I encourage you to watch! "
1840304113575194624,"Ale i tak będą Ci wmawiać, że płacąc coraz więcej za prąd, ogrzewanie czy transport, ratujesz planetę przed katastrofą klimatyczną  🤡  ","But they will still tell you that by paying more and more for electricity, heating or transport, you are saving the planet from a climate catastrophe 🤡  "
1840148680923591168,"To był intensywny dzień pełen wrażeń na trasie #Mentzen2025! Zaczęliśmy od spotkania w Chełmie, następnie odwiedziliśmy Lubartów, a na koniec tłumy sympatyków Konfederacji przywitały nas w Świdniku. Dziękuję wszystkim za obecność i znakomitą atmosferę na każdym ze spotkań.…  ","It was an intense day full of excitement on the #Mentzen2025 route! We started with a meeting in Chełm, then we visited Lubartów, and finally crowds of Confederation supporters welcomed us in Świdnik. Thank you all for your presence and the excellent atmosphere at each of the meetings.…  "
1840067585171169280,Za nami kolejne świetne spotkanie w Lubartowie w ramach trasy #Mentzen2025! A już o 19:00 w Świdniku zaczynamy ostatnie dzisiaj wydarzenie!,Another great meeting in Lubartów as part of the #Mentzen2025 tour is behind us! And at 7 p.m. in Świdnik we start the last event today!
1840039005095608320," To nawet miłe, że interesuje się Pani naszymi spotkaniami, zachęcam jednak do uczciwej relacji. Zdjęcie ze spotkania w Zamościu, g. 18.40 "," It's nice that you are interested in our meetings, but I encourage you to report honestly. Photo from the meeting in Zamość, 6.40 p.m "
1840032224512545280,"Dumna Bogata i Bezpieczna Polska dla nas i następnych pokoleń  💪  🇵  🇱 
#Mentzen2025 #Konfederacja ","Proud Rich and Safe Poland for us and the next generations 💪 🇵 🇱 
#Mentzen2025 #Confederation "
1839938309092487424,"Ryszard Petru nie inwestuje w mieszkania. No chyba, że chodzi o posiadanie wielu mieszkań i czerpania dochodu z ich wynajmu. To wtedy tak  🤡  ","Ryszard Petru does not invest in apartments. Well, unless it comes to owning many apartments and deriving income from renting them. Then yes 🤡  "
1839735726763848192,"Wspaniałe spotkanie w malowniczym Zamościu! Dziękuję wszystkim, którzy przyszli dziś się z nami spotkać. Ogromna frekwencja na spotkaniach w trasie  dowodzi jednego - potrzebna jest prawdziwa zmiana w Pałacu Prezydenckim już w przyszłym roku! #Mentzen2025 ",A great meeting in picturesque Zamość! Thank you to everyone who came to meet us today. The huge turnout at the meetings on the road proves one thing - a real change is needed in the Presidential Palace next year! #Mentzen2025 
1839692137920696576,"Brawo Javier Milei!  👏 

Prezydent Argentyny oświadczył, że jego kraj nie podpisze przyjętego przez Zgromadzenie Ogólne ""Paktu dla Przyszłości"", w którym zapowiedziano przyspieszenie zielonej transformacji. Określił ten dokument jako ""socjalistyczny program"" i ""atak na suwerenność…  ","Well done Javier Milei!  👏 

The President of Argentina stated that his country will not sign the ""Pact for the Future"" adopted by the General Assembly, which announced the acceleration of the green transformation. He described the document as a ""socialist program"" and ""an attack on sovereignty...  "
1839617368969842944,Z taką ekipą można walczyć o lepszą Polskę  🇵  🇱,With such a team you can fight for a better Poland 🇵 🇱
1839581473914991104,"Walka Donalda Tuska z nepotyzmem okazała się krótka, ale za to nieskuteczna. ","Donald Tusk's fight against nepotism turned out to be short, but ineffective. "
1839414064537305600,"Spotkania w ramach trasy #Mentzen2025 z moim udziałem już w najbliższy piątek i sobotę!

 ❇ ️Zamość: 

 ❇ ️Chełm: 

 ❇ ️Lubartów: 

 ❇ ️Świdnik: 

Do zobaczenia! ","Meetings as part of the #Mentzen2025 tour with my participation this Friday and Saturday!

 ❇️Zamość: 

 ❇️Chełm: 

 ❇️Lubartów: 

 ❇️Świdnik: 

See you! "
1839367245421584896,"Świetne wystąpienie ! Polacy zasługują na wyjaśnienia, Polacy zasługują na prawdę. Problem w tym, że rząd Donalda Tuska zajmuje się wyłącznie własnym PR-em. Premier mówi w Sejmie o nierobieniu polityki na powodzi, po czym z mównicy… robi politykę na powodzi. Im…  ","Great speech! Poles deserve explanations, Poles deserve the truth. The problem is that Donald Tusk's government only deals with its own PR. The Prime Minister speaks in the Sejm about not making politics during the flood, and then from the podium... he makes politics during the flood. Them…  "
1839329277436993792,"Jakby ktoś chciał wesprzeć odbudowę zakładu, tutaj link do zrzutki  👇 

","If anyone would like to support the reconstruction of the plant, here is a link to the collection 👇 

"
1839329140677468416,"Polski producent słodyczy, Cukry Nyskie  🇵  🇱 , zmaga się z trudną sytuacją po zalaniu fabryki, co spowodowało wstrzymanie produkcji i poważne uszkodzenia zakładu. Mimo to, prezes firmy, Andrzej Chomyszczak, zdecydował się nadal wypłacać pracownikom pełne pensje  💸  🔥 . 

Możemy…  ","Polish sweets manufacturer, Cukry Nyskie 🇵 🇱, is struggling with a difficult situation after the flooding of the factory, which resulted in the suspension of production and serious damage to the plant. Despite this, the company's president, Andrzej Chomyszczak, decided to continue paying employees full salaries 💸 🔥 . 

We can…  "
1839264778964848640,Czarodziejska różdżka Izabeli Leszczyny magicznie zniknęła po dojściu do władzy.  🙃,Isabella Leszczyna's magic wand magically disappeared after coming to power.  🙃
1839005975035912448,"Calość rozmowy:

","The whole conversation:

"
1839005913639682560,"Postulat ""kredytu na start"" nie jest tak naprawdę wsparciem dla osób chcących zakupić pierwsze mieszkanie, lecz dla banków i deweloperów, którzy najmocniej skorzystają na stymulowaniu przez państwo rynku kredytów hipotecznych. Kredyt 0% nie zwiększy dostępności mieszkań, ale…  ","The idea of ​​a ""start-up loan"" is not really support for people who want to buy their first apartment, but for banks and developers who will benefit most from the state's stimulation of the mortgage loan market. A 0% loan will not increase the availability of apartments, but…  "
1838948949605957888,"Mowa nienawiści jest wtedy, gdy ktoś mówi 
coś, z czym nie zgadza się lewica. 

Jeśli lewica obraża innych, bo mają odmienne zdanie, to jest wolność słowa.  🙃  ","Hate speech is when someone says something 
something the left disagrees with. 

If the left insults others because they have a different opinion, that is freedom of speech.  🙃  "
1838840950891655680,"Donald Tusk znalazł winnych dramatycznych skutków powodzi - to bobry! To ciekawe, biorąc pod uwagę, że jego ministrowie jeszcze w 2020 r. protestowali przeciwko decyzji Regionalnej Dyrekcji Ochrony Środowiska o odstrzale bobrów.  🙃  ","Donald Tusk found those responsible for the dramatic effects of the flood - beavers! This is interesting, considering that in 2020 his ministers protested against the decision of the Regional Directorate for Environmental Protection to shoot beavers.  🙃  "
